latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.52,13.419998,38.0,-18000,America/Chicago,GMT-5

time,temperature_2m (°C),rain (mm),apparent_temperature (°C),pressure_msl (hPa),snowfall (cm),precipitation (mm)
2026-03-19T00:00,2.6,0.00,0.0,1028.4,0.00,0.00
2026-03-19T01:00,2.5,0.00,-0.0,1027.9,0.00,0.00
2026-03-19T02:00,3.2,0.00,0.9,1028.2,0.00,0.00
2026-03-19T03:00,5.9,0.00,3.7,1028.0,0.00,0.00
2026-03-19T04:00,10.2,0.00,8.2,1028.6,0.00,0.00
2026-03-19T05:00,12.4,0.00,10.0,1027.3,0.00,0.00
2026-03-19T06:00,13.8,0.00,11.5,1026.5,0.00,0.00
2026-03-19T07:00,14.1,0.00,12.0,1025.9,0.00,0.00
2026-03-19T08:00,14.7,0.00,12.2,1024.9,0.00,0.00
2026-03-19T09:00,14.8,0.00,12.2,1024.1,0.00,0.00
2026-03-19T10:00,15.0,0.00,12.0,1023.3,0.00,0.00
2026-03-19T11:00,14.3,0.00,11.3,1022.9,0.00,0.00
2026-03-19T12:00,13.0,0.00,10.4,1022.3,0.00,0.00
2026-03-19T13:00,11.5,0.00,9.3,1023.1,0.00,0.00
2026-03-19T14:00,10.0,0.00,7.8,1022.4,0.00,0.00
2026-03-19T15:00,9.1,0.00,6.9,1022.2,0.00,0.00
2026-03-19T16:00,8.0,0.00,6.0,1022.2,0.00,0.00
2026-03-19T17:00,7.4,0.00,5.3,1021.7,0.00,0.00
2026-03-19T18:00,6.6,0.00,4.2,1021.6,0.00,0.00
2026-03-19T19:00,6.5,0.00,4.3,1021.7,0.00,0.00
2026-03-19T20:00,6.2,0.00,4.0,1021.5,0.00,0.00
2026-03-19T21:00,6.2,0.00,4.0,1020.8,0.00,0.00
2026-03-19T22:00,6.6,0.00,4.0,1021.4,0.00,0.00
2026-03-19T23:00,6.0,0.20,4.0,1020.9,0.00,0.20
2026-03-20T00:00,5.6,0.00,3.5,1020.9,0.00,0.00
2026-03-20T01:00,5.7,0.00,3.7,1020.8,0.00,0.00
2026-03-20T02:00,6.2,0.00,4.1,1021.0,0.00,0.00
2026-03-20T03:00,7.5,0.00,5.3,1021.1,0.00,0.00
2026-03-20T04:00,8.1,0.00,5.8,1021.9,0.00,0.00
2026-03-20T05:00,9.3,0.00,6.9,1021.6,0.00,0.00
2026-03-20T06:00,10.0,0.00,7.5,1021.4,0.00,0.00
2026-03-20T07:00,10.2,0.00,7.7,1020.7,0.00,0.00
2026-03-20T08:00,10.2,0.00,7.7,1020.4,0.00,0.00
2026-03-20T09:00,10.4,0.00,7.9,1020.0,0.00,0.00
2026-03-20T10:00,10.8,0.00,8.1,1020.2,0.00,0.00
2026-03-20T11:00,10.0,0.00,7.1,1019.8,0.00,0.00
2026-03-20T12:00,8.2,0.00,5.4,1019.9,0.00,0.00
2026-03-20T13:00,7.4,0.00,4.9,1020.8,0.00,0.00
2026-03-20T14:00,6.5,0.00,4.3,1020.7,0.00,0.00
2026-03-20T15:00,5.8,0.00,3.6,1020.8,0.00,0.00
2026-03-20T16:00,5.6,0.00,3.5,1020.5,0.00,0.00
2026-03-20T17:00,5.4,0.00,3.2,1020.6,0.00,0.00
2026-03-20T18:00,5.1,0.00,2.9,1020.4,0.00,0.00
2026-03-20T19:00,5.0,0.00,2.8,1021.0,0.00,0.00
2026-03-20T20:00,4.5,0.00,2.4,1020.5,0.00,0.00
2026-03-20T21:00,4.1,0.00,1.9,1020.0,0.00,0.00
2026-03-20T22:00,4.1,0.00,1.9,1020.3,0.00,0.00
2026-03-20T23:00,4.1,0.00,1.8,1020.0,0.00,0.00
2026-03-21T00:00,4.1,0.00,1.9,1020.5,0.00,0.00
2026-03-21T01:00,4.6,0.00,2.3,1020.2,0.00,0.00
2026-03-21T02:00,5.2,0.00,2.7,1020.8,0.00,0.00
2026-03-21T03:00,5.9,0.00,3.2,1020.4,0.00,0.00
2026-03-21T04:00,6.0,0.00,3.4,1021.0,0.00,0.00
2026-03-21T05:00,7.2,0.00,4.5,1020.5,0.00,0.00
2026-03-21T06:00,8.2,0.00,5.1,1020.6,0.00,0.00
2026-03-21T07:00,8.6,0.00,5.7,1020.2,0.00,0.00
2026-03-21T08:00,10.0,0.00,7.1,1019.8,0.00,0.00
2026-03-21T09:00,10.7,0.00,7.6,1018.9,0.00,0.00
2026-03-21T10:00,10.9,0.00,7.3,1019.5,0.00,0.00
2026-03-21T11:00,10.4,0.00,6.7,1019.2,0.00,0.00
2026-03-21T12:00,9.5,0.00,5.8,1019.8,0.00,0.00
2026-03-21T13:00,8.5,0.00,5.3,1020.9,0.00,0.00
2026-03-21T14:00,7.1,0.00,4.0,1021.0,0.00,0.00
2026-03-21T15:00,6.2,0.00,3.1,1021.3,0.00,0.00
2026-03-21T16:00,5.5,0.00,2.1,1021.5,0.00,0.00
2026-03-21T17:00,4.9,0.00,1.5,1021.3,0.00,0.00
2026-03-21T18:00,4.3,0.00,0.9,1021.0,0.00,0.00
2026-03-21T19:00,3.8,0.00,0.6,1021.5,0.00,0.00
2026-03-21T20:00,3.5,0.00,0.2,1021.5,0.00,0.00
2026-03-21T21:00,3.1,0.00,-0.1,1021.1,0.00,0.00
2026-03-21T22:00,2.5,0.00,-0.8,1022.1,0.00,0.00
2026-03-21T23:00,2.2,0.00,-1.1,1021.9,0.00,0.00
2026-03-22T00:00,1.9,0.00,-1.4,1022.0,0.00,0.00
2026-03-22T01:00,2.1,0.00,-1.3,1022.1,0.00,0.00
2026-03-22T02:00,3.2,0.00,-0.1,1021.9,0.00,0.00
2026-03-22T03:00,5.3,0.00,1.9,1021.5,0.00,0.00
2026-03-22T04:00,8.7,0.00,5.3,1021.1,0.00,0.00
2026-03-22T05:00,10.8,0.00,7.3,1020.9,0.00,0.00
2026-03-22T06:00,12.5,0.00,8.9,1020.4,0.00,0.00
2026-03-22T07:00,13.1,0.00,9.5,1020.2,0.00,0.00
